0,1,2,3,4,5,6,7,8
111/03/21,"21,258,452","2,237,503,189",106.00,106.50,104.50,104.50,-1.50,"11,458"
111/03/22,"21,111,299","2,195,813,907",104.00,104.50,103.50,104.00,-0.50,"9,133"
111/03/23,"20,090,168","2,107,142,071",104.50,105.50,104.00,105.50,+1.50,"9,389"
111/03/24,"50,697,996","5,397,675,520",105.00,108.00,104.50,106.50,+1.00,"25,623"
111/03/25,"21,198,835","2,253,282,800",106.50,107.00,106.00,106.00,-0.50,"10,670"
111/03/28,"19,925,357","2,104,511,278",105.50,106.50,104.50,106.00, 0.00,"8,885"
111/03/29,"17,591,342","1,853,051,914",106.00,106.50,104.50,105.50,-0.50,"10,487"
111/03/30,"21,868,440","2,308,264,334",106.00,106.00,105.00,105.50, 0.00,"9,187"
111/03/31,"21,500,251","2,280,008,116",106.00,106.50,105.50,106.00,+0.50,"7,476"
111/04/01,"23,640,400","2,476,028,386",105.00,105.50,104.50,104.50,-1.50,"11,333"
111/04/06,"31,406,042","3,286,232,058",104.50,105.00,104.00,105.00,+0.50,"13,404"
111/04/07,"37,755,211","3,913,045,570",104.50,105.00,103.00,103.00,-2.00,"23,911"
111/04/08,"25,228,715","2,595,666,790",103.00,103.50,102.50,103.00, 0.00,"16,466"
111/04/11,"29,147,204","2,980,505,593",103.00,103.50,101.50,102.00,-1.00,"17,667"
111/04/12,"17,944,652","1,838,013,259",102.00,103.00,101.50,102.00, 0.00,"8,667"
111/04/13,"15,917,450","1,650,449,118",103.00,104.50,102.50,104.00,+2.00,"8,164"
111/04/14,"8,950,642","932,060,147",104.00,104.50,103.50,104.00, 0.00,"4,739"
111/04/15,"11,788,063","1,218,303,498",103.50,104.00,103.00,103.00,-1.00,"7,425"
111/04/18,"11,467,286","1,175,593,100",102.00,103.00,102.00,102.50,-0.50,"6,740"
111/04/19,"17,733,292","1,817,596,133",103.00,103.50,102.00,102.00,-0.50,"9,035"
111/04/20,"19,662,727","2,015,778,459",102.50,103.00,102.00,103.00,+1.00,"9,913"
111/04/21,"18,417,433","1,903,089,354",103.50,104.00,103.00,103.00, 0.00,"7,548"
111/04/22,"16,673,991","1,716,622,304",102.50,103.50,102.00,103.50,+0.50,"7,495"
111/04/25,"41,906,690","4,237,319,618",102.50,102.50,100.50,100.50,-3.00,"30,162"
111/04/26,"21,726,110","2,193,460,471",101.00,101.50,100.50,101.00,+0.50,"11,296"
111/04/27,"30,138,259","3,016,451,382",99.90,100.50,99.70,100.00,-1.00,"17,635"
111/04/28,"29,238,494","2,947,263,239",100.00,101.50,100.00,101.50,+1.50,"9,370"
111/04/29,"16,075,115","1,637,797,439",101.50,102.00,101.50,102.00,+0.50,"5,885"
111/05/03,"17,632,994","1,802,733,630",102.00,103.00,101.50,102.50,+0.50,"7,921"
111/05/04,"31,111,663","3,235,058,146",103.50,104.50,103.00,104.00,+1.50,"10,754"
111/05/05,"44,182,291","4,628,347,344",105.00,105.50,104.00,104.50,+0.50,"12,418"
111/05/06,"27,888,783","2,881,440,462",103.50,104.00,102.50,104.00,-0.50,"10,725"
111/05/09,"26,841,790","2,779,471,215",103.50,104.00,103.00,104.00, 0.00,"8,839"
111/05/10,"17,928,513","1,856,919,197",103.00,104.00,102.50,104.00, 0.00,"8,128"
111/05/11,"19,699,065","2,037,087,206",103.50,104.00,103.00,103.00,-1.00,"8,733"
111/05/12,"22,335,157","2,289,193,629",103.00,103.00,102.00,102.00,-1.00,"13,271"
111/05/13,"19,748,688","2,047,312,222",104.00,104.00,103.00,104.00,+2.00,"8,699"
111/05/16,"25,235,126","2,630,129,235",104.00,104.50,103.50,104.50,+0.50,"9,481"
111/05/17,"28,505,126","2,987,443,219",104.50,105.00,104.00,105.00,+0.50,"10,382"
111/05/18,"56,423,484","6,011,093,630",105.50,107.00,105.00,107.00,+2.00,"27,172"
111/05/19,"38,150,307","4,058,217,532",105.50,107.50,105.00,107.50,+0.50,"18,694"
111/05/20,"46,344,487","4,999,084,485",107.50,109.00,107.00,107.00,-0.50,"22,702"
111/05/23,"34,504,056","3,732,164,287",108.00,109.00,107.00,108.00,+1.00,"17,625"
111/05/24,"37,409,126","4,055,836,265",108.00,109.00,108.00,108.00, 0.00,"17,990"
111/05/25,"77,602,667","8,479,699,424",108.50,110.00,108.00,109.50,+1.50,"33,228"
111/05/26,"40,239,038","4,404,353,832",110.00,110.50,108.50,109.00,-0.50,"21,229"
111/05/27,"52,655,635","5,809,140,386",110.00,111.00,109.50,110.00,+1.00,"21,201"
111/05/30,"44,021,707","4,841,079,725",110.50,111.00,109.00,110.50,+0.50,"18,566"
111/05/31,"98,246,343","11,021,326,677",111.00,113.00,110.00,113.00,+2.50,"35,106"
111/06/01,"74,240,455","8,507,384,291",112.50,116.00,112.00,114.50,+1.50,"35,977"
111/06/02,"40,493,740","4,654,000,679",114.50,116.00,113.50,114.00,-0.50,"20,147"
111/06/06,"36,024,843","4,147,464,601",115.00,116.00,114.00,115.50,+1.50,"18,252"
111/06/07,"37,928,495","4,328,936,881",115.00,115.50,113.50,113.50,-2.00,"20,332"
111/06/08,"18,702,532","2,133,910,077",114.50,115.00,113.50,114.00,+0.50,"10,975"
111/06/09,"29,946,032","3,438,617,821",114.00,115.50,113.50,115.50,+1.50,"13,212"
111/06/10,"24,455,998","2,798,219,698",115.00,115.00,114.00,114.00,-1.50,"12,183"
111/06/13,"45,720,589","5,107,246,823",112.50,112.50,111.00,111.50,-2.50,"23,704"
111/06/14,"32,230,251","3,576,321,970",110.00,112.50,110.00,111.50, 0.00,"14,824"
111/06/15,"25,173,947","2,820,402,492",112.50,112.50,111.50,112.00,+0.50,"11,371"
111/06/16,"31,674,634","3,556,826,569",113.50,113.50,110.50,111.50,-0.50,"13,942"
111/06/17,"51,770,484","5,686,050,951",110.00,111.00,109.50,109.50,-2.00,"28,807"
111/06/20,"33,567,864","3,676,739,596",110.00,110.50,108.50,109.00,-0.50,"15,595"
111/06/21,"38,779,129","4,320,466,442",110.50,112.50,110.50,112.00,+3.00,"14,609"
111/06/22,"31,484,183","3,473,065,898",111.50,111.50,109.50,109.50,-2.50,"13,454"
111/06/23,"46,046,917","4,995,374,241",110.50,110.50,107.50,108.00,-1.50,"19,795"
111/06/24,"29,649,132","3,254,328,039",109.00,110.50,108.50,110.00,+2.00,"11,362"
111/06/27,"26,037,844","2,902,463,017",111.00,112.00,111.00,111.00,+1.00,"10,969"
111/06/28,"28,867,008","3,215,018,487",111.50,112.00,110.00,112.00,+1.00,"10,443"
111/06/29,"35,640,396","3,970,267,323",111.50,112.50,110.50,111.00,-1.00,"11,207"
111/06/30,"45,967,258","5,036,836,151",110.50,111.00,109.00,109.00,-2.00,"23,664"
111/07/01,"63,133,602","6,758,749,961",108.50,109.00,105.50,106.00,-3.00,"32,535"
111/07/04,"70,995,980","7,140,989,017",100.50,102.00,99.50,100.00,X0.00,"32,374"
111/07/05,"45,713,186","4,669,649,468",102.00,103.00,101.00,102.50,+2.50,"20,422"
111/07/06,"45,875,699","4,653,042,441",103.00,103.50,100.50,100.50,-2.00,"22,660"
111/07/07,"41,084,778","4,210,411,576",101.00,103.50,100.50,103.50,+3.00,"15,382"
111/07/08,"35,186,757","3,613,971,179",103.50,104.00,101.50,102.00,-1.50,"15,471"
111/07/11,"18,971,045","1,917,673,836",102.00,102.00,100.50,101.00,-1.00,"10,175"
111/07/12,"26,222,208","2,629,265,988",100.00,101.00,99.70,100.50,-0.50,"13,954"
111/07/13,"32,354,911","3,333,763,591",103.00,103.50,102.50,102.50,+2.00,"15,547"
111/07/14,"46,239,887","4,831,039,581",102.50,106.00,102.50,105.00,+2.50,"18,374"
111/07/15,"25,505,254","2,682,379,312",105.00,106.00,104.50,105.00, 0.00,"10,272"
111/07/18,"17,083,253","1,789,285,264",105.00,105.50,104.00,105.00, 0.00,"8,324"
111/07/19,"20,535,363","2,138,674,698",104.50,105.00,103.50,104.00,-1.00,"10,417"
111/07/20,"35,585,856","3,703,922,190",104.00,105.00,103.00,103.50,-0.50,"17,562"
111/07/21,"24,149,090","2,529,832,035",104.00,105.50,103.50,105.50,+2.00,"9,269"
111/07/22,"29,400,418","3,117,384,373",105.50,106.50,105.00,106.00,+0.50,"11,003"
111/07/25,"41,471,982","4,448,057,977",106.00,108.00,105.50,107.50,+1.50,"14,188"
111/07/26,"23,277,125","2,508,249,267",108.00,108.50,107.00,108.00,+0.50,"10,247"
111/07/27,"30,876,807","3,344,846,475",108.50,109.50,107.50,108.00, 0.00,"13,670"
111/07/28,"21,932,255","2,378,939,021",109.00,109.00,108.00,108.50,+0.50,"11,572"
111/07/29,"21,951,559","2,389,538,354",109.00,109.50,108.50,109.00,+0.50,"9,079"
111/08/01,"14,996,382","1,629,872,946",108.50,109.00,108.00,109.00, 0.00,"7,143"
111/08/02,"40,743,180","4,375,448,073",108.00,108.00,106.50,108.00,-1.00,"23,127"
111/08/03,"31,052,217","3,343,751,905",107.50,108.50,107.00,108.50,+0.50,"12,003"
111/08/04,"40,577,638","4,369,634,786",108.00,108.50,106.50,108.00,-0.50,"15,013"
111/08/05,"25,350,396","2,748,564,050",108.50,109.00,108.00,108.00, 0.00,"10,246"
111/08/08,"23,526,674","2,528,924,473",107.00,108.00,106.50,108.00, 0.00,"10,035"
111/08/09,"25,851,764","2,801,896,212",108.00,109.00,107.00,109.00,+1.00,"12,052"
111/08/10,"56,629,249","6,226,414,995",109.00,111.00,108.00,110.00,+1.00,"21,011"
111/08/11,"62,481,183","7,007,322,071",111.50,113.00,110.50,113.00,+3.00,"28,607"
111/08/12,"48,654,945","5,500,411,046",113.00,114.00,112.00,112.50,-0.50,"21,376"
111/08/15,"29,468,828","3,304,752,550",113.00,113.00,111.50,112.00,-0.50,"13,776"
111/08/16,"28,989,314","3,220,129,668",112.00,112.00,110.50,111.00,-1.00,"15,650"
111/08/17,"33,849,726","3,787,892,860",111.00,112.50,111.00,112.50,+1.50,"15,653"
111/08/18,"26,002,863","2,903,643,194",112.50,112.50,111.00,112.00,-0.50,"8,565"
111/08/19,"17,707,131","1,971,372,238",111.50,112.00,111.00,111.00,-1.00,"6,899"
111/08/22,"16,613,929","1,834,457,540",110.50,111.00,110.00,111.00, 0.00,"7,788"
111/08/23,"18,158,910","1,998,932,319",110.00,110.50,109.50,110.00,-1.00,"8,259"
111/08/24,"24,754,117","2,713,269,554",110.50,111.00,109.00,109.50,-0.50,"13,931"
111/08/25,"14,187,366","1,558,328,414",109.50,110.50,109.50,109.50, 0.00,"7,050"
111/08/26,"17,147,941","1,886,254,324",110.00,110.50,109.50,110.50,+1.00,"7,974"
111/08/29,"27,166,245","2,941,811,595",108.50,109.00,108.00,108.00,-2.50,"15,622"
111/08/30,"21,904,735","2,374,080,779",108.50,109.00,108.00,108.50,+0.50,"9,238"
111/08/31,"29,733,770","3,228,381,242",108.00,109.50,107.50,109.00,+0.50,"11,975"
111/09/01,"37,780,861","4,063,042,055",108.00,108.50,107.00,107.50,-1.50,"18,455"
111/09/02,"17,178,614","1,848,950,477",108.00,108.00,107.00,107.50, 0.00,"7,327"
111/09/05,"23,510,808","2,538,564,619",108.00,108.50,107.50,108.00,+0.50,"6,211"
111/09/06,"16,470,152","1,779,506,758",108.50,108.50,107.50,108.50,+0.50,"8,119"
111/09/07,"32,007,211","3,421,330,308",107.50,108.00,106.00,106.00,-2.50,"18,264"
111/09/08,"15,510,168","1,656,117,929",107.00,107.00,106.00,107.00,+1.00,"6,785"
111/09/12,"18,494,607","2,002,065,443",108.50,109.00,107.50,108.50,+1.50,"8,219"
111/09/13,"32,868,739","3,602,070,045",109.00,110.50,108.50,110.00,+1.50,"12,365"
111/09/14,"26,601,015","2,865,653,445",107.50,108.50,107.00,107.50,-2.50,"12,413"
111/09/15,"17,777,392","1,921,785,611",107.50,108.50,107.50,108.00,+0.50,"6,869"
111/09/16,"37,358,400","4,010,943,876",107.50,108.00,107.00,107.50,-0.50,"10,689"
111/09/19,"17,257,682","1,845,794,832",107.50,108.00,106.50,107.00,-0.50,"7,763"
111/09/20,"26,209,523","2,827,366,527",107.50,108.50,107.00,108.50,+1.50,"8,429"
111/09/21,"25,899,668","2,781,298,302",108.50,108.50,106.50,107.00,-1.50,"11,423"
111/09/22,"24,170,156","2,579,720,303",106.50,107.50,106.00,107.00, 0.00,"8,938"
111/09/23,"16,305,687","1,739,541,489",107.00,107.50,106.00,106.50,-0.50,"7,187"
111/09/26,"41,225,652","4,308,616,542",105.50,106.00,103.50,104.00,-2.50,"25,521"
111/09/27,"21,421,110","2,220,381,066",104.00,104.50,103.00,103.50,-0.50,"11,725"
111/09/28,"49,671,045","5,043,131,194",103.50,104.00,100.50,100.50,-3.00,"30,069"
111/09/29,"40,492,428","4,109,231,315",101.50,102.50,101.00,101.50,+1.00,"16,864"
111/09/30,"28,211,012","2,856,502,539",100.00,102.00,100.00,102.00,+0.50,"11,023"
111/10/03,"21,183,821","2,143,649,886",101.00,102.00,100.50,101.00,-1.00,"9,540"
111/10/04,"17,338,770","1,775,289,678",102.50,103.00,102.00,102.50,+1.50,"8,375"
111/10/05,"52,597,518","5,601,502,334",105.50,107.50,105.00,107.00,+4.50,"24,801"
111/10/06,"28,164,289","3,022,608,414",108.00,108.50,106.50,107.50,+0.50,"9,528"
111/10/07,"22,004,516","2,360,964,734",107.00,108.00,106.50,107.50, 0.00,"8,626"
111/10/11,"37,777,028","3,947,147,436",105.00,105.50,104.00,104.00,-3.50,"17,666"
111/10/12,"39,428,854","4,078,843,113",104.00,104.50,102.50,103.00,-1.00,"14,435"
111/10/13,"32,316,574","3,346,175,558",103.50,104.50,102.50,103.50,+0.50,"11,606"
111/10/14,"25,127,634","2,636,770,751",104.50,105.50,104.50,105.00,+1.50,"9,995"
111/10/17,"28,401,379","2,977,431,995",104.00,105.50,104.00,105.00, 0.00,"9,575"
111/10/18,"39,455,842","4,109,787,801",105.50,106.00,103.00,103.50,-1.50,"19,163"
111/10/19,"54,152,038","5,612,465,128",104.00,105.00,103.00,103.00,-0.50,"15,893"
111/10/20,"58,306,844","5,951,493,644",103.00,103.50,101.00,102.50,-0.50,"22,034"
111/10/21,"24,536,653","2,524,575,133",102.50,103.50,102.00,103.50,+1.00,"8,983"
111/10/24,"29,141,002","3,013,138,437",104.50,104.50,102.50,103.00,-0.50,"9,666"
111/10/25,"38,858,324","3,993,757,410",103.00,103.50,101.50,103.50,+0.50,"11,904"
111/10/26,"28,329,890","2,937,155,193",104.00,104.50,103.00,104.00,+0.50,"8,880"
111/10/27,"31,344,230","3,275,026,065",105.00,105.00,104.00,104.00, 0.00,"8,827"
111/10/28,"22,278,147","2,313,697,404",104.50,104.50,103.00,104.00, 0.00,"9,030"
111/10/31,"53,476,790","5,461,306,704",101.50,103.00,101.50,102.50,-1.50,"16,740"
111/11/01,"52,125,801","5,282,805,586",101.50,102.00,100.50,101.50,-1.00,"26,058"
111/11/02,"35,124,774","3,566,618,886",101.50,102.00,101.00,102.00,+0.50,"12,819"
111/11/03,"42,249,526","4,267,316,533",101.00,101.50,100.50,101.00,-1.00,"17,786"
111/11/04,"49,148,814","4,918,094,984",100.00,101.00,99.50,100.50,-0.50,"33,397"
111/11/07,"40,826,295","4,088,713,099",100.50,101.00,99.80,100.00,-0.50,"23,472"
111/11/08,"30,439,852","3,046,907,124",100.00,100.50,100.00,100.00, 0.00,"17,953"
111/11/09,"42,446,062","4,313,824,989",100.00,102.50,100.00,102.50,+2.50,"17,078"
111/11/10,"39,874,839","4,016,631,941",101.00,101.50,100.50,100.50,-2.00,"20,790"
111/11/11,"90,276,048","9,085,057,365",101.50,102.50,100.00,100.00,-0.50,"44,969"
111/11/14,"67,217,227","6,754,151,364",99.50,101.50,99.50,101.50,+1.50,"24,864"
111/11/15,"47,027,211","4,779,761,515",101.50,102.50,101.00,101.50, 0.00,"16,800"
111/11/16,"46,862,982","4,768,522,978",101.50,102.50,101.00,101.50, 0.00,"20,569"
111/11/17,"26,583,078","2,695,972,528",101.50,102.00,101.00,101.50, 0.00,"12,390"
111/11/18,"45,343,250","4,593,844,884",101.50,102.50,100.50,100.50,-1.00,"23,533"
111/11/21,"30,472,000","3,062,313,373",101.00,101.50,100.00,100.00,-0.50,"15,281"
111/11/22,"28,582,534","2,864,959,737",100.00,100.50,100.00,100.50,+0.50,"15,095"
111/11/23,"32,079,101","3,239,173,343",101.00,101.50,100.50,100.50, 0.00,"15,745"
111/11/24,"42,611,350","4,279,895,317",100.50,101.00,100.00,101.00,+0.50,"21,615"
111/11/25,"35,032,161","3,524,752,085",100.50,101.00,100.00,100.50,-0.50,"16,153"
111/11/28,"47,154,746","4,716,021,374",100.50,100.50,99.60,100.00,-0.50,"25,143"
111/11/29,"34,334,057","3,434,389,648",100.00,100.50,99.70,100.00, 0.00,"19,657"
111/11/30,"89,148,734","8,977,234,174",100.50,101.50,100.00,100.50,+0.50,"17,838"
111/12/01,"68,347,930","7,001,482,266",101.50,103.00,101.50,103.00,+2.50,"25,731"
111/12/02,"77,966,393","8,196,980,095",103.00,106.00,103.00,105.50,+2.50,"37,773"
111/12/05,"46,083,936","4,890,939,475",106.50,107.00,105.50,105.50, 0.00,"21,284"
111/12/06,"55,270,666","5,718,145,431",104.00,104.50,102.50,103.00,-2.50,"28,597"
111/12/07,"44,811,782","4,602,965,359",102.50,104.00,102.00,102.00,-1.00,"22,576"
111/12/08,"31,027,361","3,161,754,629",102.00,102.50,101.50,101.50,-0.50,"17,802"
111/12/09,"33,294,761","3,406,859,417",102.50,103.00,102.00,102.00,+0.50,"11,747"
111/12/12,"19,498,779","1,982,855,426",102.00,102.00,101.00,102.00, 0.00,"9,634"
111/12/13,"34,807,666","3,530,853,812",102.00,102.50,101.00,101.00,-1.00,"16,396"
111/12/14,"24,772,267","2,530,062,580",101.50,102.50,101.00,102.50,+1.50,"9,297"
111/12/15,"27,539,463","2,802,889,858",101.50,102.50,101.50,101.50,-1.00,"10,331"
111/12/16,"72,581,761","7,307,497,834",100.50,101.50,100.00,100.50,-1.00,"27,944"
111/12/19,"29,579,834","2,990,882,519",100.50,102.00,100.50,101.50,+1.00,"10,973"
111/12/20,"45,367,320","4,556,752,819",101.00,101.50,100.00,100.00,-1.50,"21,274"
111/12/21,"28,064,923","2,815,313,181",101.00,101.00,100.00,100.00, 0.00,"13,945"
111/12/22,"21,298,650","2,147,374,947",101.00,101.00,100.50,101.00,+1.00,"7,969"
111/12/23,"15,490,469","1,557,178,104",100.00,101.00,100.00,101.00, 0.00,"6,696"
111/12/26,"8,798,497","887,900,694",101.50,101.50,100.50,101.00, 0.00,"5,888"
111/12/27,"8,915,931","897,847,206",101.00,101.50,100.50,100.50,-0.50,"5,964"
111/12/28,"23,260,583","2,332,393,166",100.50,100.50,100.00,100.50, 0.00,"12,398"
111/12/29,"38,383,359","3,829,311,707",100.00,100.00,99.50,99.70,-0.80,"36,241"
111/12/30,"18,189,761","1,818,159,658",100.00,100.50,99.80,99.90,+0.20,"9,852"
110/01/04,"233,726,746","22,587,972,258",93.40,100.00,93.30,99.90,+7.90,"115,789"
110/01/05,"234,178,116","24,176,652,664",101.00,105.00,101.00,104.00,+4.10,"114,366"
110/01/06,"222,119,287","23,465,513,766",107.50,109.00,102.00,105.00,+1.00,"114,160"
110/01/07,"114,653,734","12,242,829,524",108.00,108.00,105.50,107.00,+2.00,"59,013"
110/01/08,"115,547,259","12,431,474,200",109.00,109.50,106.00,108.00,+1.00,"61,278"
110/01/11,"70,525,408","7,582,606,654",108.00,109.00,106.50,107.50,-0.50,"39,544"
110/01/12,"106,622,057","11,119,079,660",106.50,107.00,103.00,104.00,-3.50,"56,730"
110/01/13,"83,561,136","8,856,217,204",105.00,107.00,105.00,106.50,+2.50,"40,226"
110/01/14,"321,271,715","36,391,347,707",109.00,117.00,108.00,116.00,+9.50,"141,468"
110/01/15,"171,273,151","19,817,867,014",118.00,119.00,113.00,115.50,-0.50,"86,061"
110/01/18,"95,824,657","10,843,315,189",115.50,116.00,111.00,114.00,-1.50,"52,153"
110/01/19,"95,320,325","10,971,429,720",115.00,116.50,114.00,115.00,+1.00,"45,246"
110/01/20,"133,839,555","15,534,875,651",116.50,118.50,114.00,114.50,-0.50,"62,204"
110/01/21,"88,148,629","10,260,813,496",116.50,117.50,115.00,117.00,+2.50,"41,785"
110/01/22,"222,771,956","26,779,865,039",117.50,121.50,117.00,121.50,+4.50,"108,571"
110/01/25,"144,137,047","17,407,181,744",122.00,124.00,117.50,123.00,+1.50,"70,532"
110/01/26,"129,763,217","15,878,540,462",122.50,125.00,120.00,122.00,-1.00,"64,483"
110/01/27,"100,937,464","12,345,781,130",124.00,124.50,122.50,123.00,+1.00,"41,497"
110/01/28,"126,109,713","15,041,934,387",120.00,121.00,118.00,118.50,-4.50,"67,691"
110/01/29,"182,193,247","20,945,648,631",119.00,120.00,111.50,111.50,-7.00,"94,768"
110/02/01,"126,542,433","14,005,129,697",111.00,114.50,108.00,113.00,+1.50,"57,812"
110/02/02,"84,723,356","9,830,393,889",115.00,118.00,114.00,116.50,+3.50,"41,228"
110/02/03,"61,266,257","7,139,280,649",118.00,118.50,115.00,116.50, 0.00,"26,771"
110/02/04,"64,821,924","7,403,951,223",114.50,116.00,113.00,114.00,-2.50,"32,329"
110/02/05,"88,545,854","10,144,603,345",115.00,116.50,113.00,113.50,-0.50,"44,497"
110/02/17,"91,569,404","10,442,945,499",115.00,116.00,112.50,114.00,+0.50,"43,802"
110/02/18,"47,383,973","5,380,177,658",113.50,114.50,113.00,113.00,-1.00,"24,592"
110/02/19,"87,882,501","9,701,331,173",112.00,112.50,109.50,110.00,-3.00,"46,144"
110/02/22,"60,772,150","6,816,444,876",111.50,114.00,111.00,111.00,+1.00,"32,269"
110/02/23,"51,483,656","5,690,394,165",109.50,112.50,108.50,111.50,+0.50,"26,413"
110/02/24,"59,398,315","6,652,961,790",112.00,114.00,110.50,110.50,-1.00,"29,603"
110/02/25,"113,086,563","13,028,463,836",115.00,116.50,114.00,116.50,+6.00,"53,677"
110/02/26,"122,126,804","13,787,932,415",114.50,115.00,112.00,112.00,-4.50,"55,063"
110/03/02,"54,679,187","6,208,416,490",114.50,114.50,112.00,112.00, 0.00,"24,377"
110/03/03,"90,671,041","10,385,729,569",113.00,116.00,112.00,115.50,+3.50,"36,128"
110/03/04,"79,491,784","9,055,229,129",115.50,116.00,112.00,114.50,-1.00,"30,614"
110/03/05,"87,263,439","10,007,886,347",113.50,116.00,112.50,115.00,+0.50,"34,097"
110/03/08,"54,725,412","6,277,482,760",116.00,116.50,113.00,113.50,-1.50,"23,284"
110/03/09,"44,151,477","5,019,110,304",113.00,115.00,112.00,115.00,+1.50,"20,125"
110/03/10,"49,011,206","5,676,662,482",116.00,117.00,115.00,115.50,+0.50,"20,545"
110/03/11,"76,015,788","8,894,298,610",116.50,118.00,116.00,117.00,+1.50,"36,312"
110/03/12,"97,811,913","11,662,163,611",117.50,120.00,117.50,120.00,+3.00,"51,423"
110/03/15,"70,166,127","8,428,413,588",120.00,122.00,118.50,121.00,+1.00,"35,682"
110/03/16,"93,898,518","11,496,180,042",121.50,123.50,121.00,123.00,+2.00,"46,078"
110/03/17,"145,610,279","18,331,370,516",123.50,128.00,123.00,126.00,+3.00,"75,496"
